title,release_date,runtime,genre/s,categories_id,description,image,trailer,actors,director,writers
El corazón de Europa,2022/05/27,110,,"5,8","El director Julián Pintos y su alter ego se encuentran confinados en su hogar, aislados en el campo, durante la pandemia que asola a Europa en pleno siglo XXI y emprenden un viaje introspectivo en el que coincidirán con Myriam la misteriosa Máscara de Plata y con las dos inquietantes máscaras del teatro, musas de la comedia y la tragedia, desdobladas en Esther y Diana. Los personajes, atrapados en un túnel del tiempo, como única escapatoria intentarán hallar el corazón de Europa rememorando sus respectivos pasados vinculados entre sí con el Viejo Continente, dejando aflorar los fantasmas y miedos más profundos que cada uno de ellos oculta.",/movies_images/el-corazn-de-europa.jpg,https://www.youtube.com/embed/PnwWDRNVWyc,"Juan Pinzás,Elke Krüger,Katherine Sorel,María Villar",Juan Pinzás,Juan Pinzás
"Blancanieves (Mirror, Mirror)",2012/03/23,105,,"8,4,14","Se trata de una nueva versión del cuento de &quot;Blancanieves&quot;. La madrastra de una princesa huérfana (Julia Roberts), desterrará a esta al bosque cuando se percate de que la belleza de la muchacha es superior a la suya, quedándose como dueña y señora de todo su reino. La inocente Blancanieves (Lily Collins, 'Sin salida'), lejos de darse por vencida, se aliará con siete pequeños guerreros (los enanitos) que la ayudarán para enfrentarse directamente a la malvada reina y derrocarla para siempre en una cruda batalla por la supervivencia. El director Tarsem Singh ('Immortals') se introduce en las entrañas de esta fábula de toda la vida y le da una nueva dimensión gracias a su particular y exuberante universo visual, la reviste con un toque de comedia y la acerca a los nuevos públicos. 'Blancanieves (Mirror, Mirror)' recobra la magia de los cuentos de hadas infantiles y actualiza su esencia en la que laten los celos, la codicia, la soberbia y la traición. También habrá lugar para el romance, con el consabido príncipe azul (interpretado por Armie Hammer, 'J. Edgar'). Una fantasía multicolor llena de encanto.",/movies_images/blancanieves-mirror-mirror.jpg,https://www.youtube.com/embed/mjFSAAPwtpQ,"Julia Roberts,Lily Collins,Armie Hammer,Nathan Lane",Tarsem Singh,"Melisa Wallack,Jason Keller,Marc Klein,Jacob Grimm,Wilhelm Grimm"
Cinco lobitos,2022/05/20,104,,5,"Amaia (Laia Costa) acaba de ser madre y se da cuenta de que no sabe muy bien cómo actuar. Al ausentarse su pareja por trabajo durante un corto periodo de tiempo, decide volver a casa de sus padres, en un bonito pueblo costero del País Vasco y así compartir la responsabilidad de cuidar al pequeño. Lo que no sabe la joven es que, aunque ahora sea madre, no dejará de ser hija.",/movies_images/cinco-lobitos.jpg,https://www.youtube.com/embed/xBuqdeNtXp4,"Laia Costa,Susi Sánchez,Ramon Barea,Mikel Bustamante",Alauda Ruíz de Azúa,Alauda Ruíz de Azúa
Morbius,2022/04/01,105,,"2,8","El Doctor Michael Morbius (Jared Leto) es un bioquímico que sufre una extraña enfermedad en la sangre. Para curarse y dar una respuesta a su trastorno, en el proceso, se infecta sin darse cuenta con una forma de vampirismo. Aunque debería haber muerto, tras la cura, Michael se siente más vivo que nunca y adquiere dones como fuerza, velocidad, capacidad de ecolocalización, además de una necesidad irresistible de consumir sangre. Trágicamente convertido en un imperfecto antihéroe, el Doctor Morbius tendrá una última oportunidad, pero ¿a qué precio? Spin-off de uno de los villanos más conocidos de Spider-Man, creado por Roy Thomas y Gil Kane, el filme lo producen los responsables de Spider-Man: Homecoming (2017), Venom (2018) y Spider-Man: Lejos de casa (2019).",/movies_images/morbius.jpg,https://www.youtube.com/embed/EA4v3wl7faA,"Jared Leto,Matt Smith (XI),Adria Arjona,Jared Harris",Daniel Espinosa,"Burk Sharpless,Matt Sazama,Roy Thomas"
After. Almas perdidas,2021/09/03,98,,"5,11","Pese a que la historia de amor entre Tessa Young (Josephine Langford) y Hardin Scott (Hero Fiennes-Tiffin) ha pasado por muchas complicaciones, esta vez es mucho más compleja que nunca. Ahora que Tessa ha tomado una de las decisiones más importantes de su vida, todo cambia completamente. Los secretos que salen a la luz sobre sus familias, ponen en peligro su relación y su futuro juntos. La vida de Tessa empieza a romperse en pedazos, y ya nada es como antes. Aunque sabe que Hardin la quiere, ambos están rodeados de celos, odio y perdón. Hasta ahora, el amor era suficiente para mantener su relación a flote pero, ¿de verdad sigue mereciendo la pena?Adaptación cinematográfica de la exitosa saga de novelas escritas por Anna Todd.",/movies_images/after.-almas-perdidas.jpg,https://www.youtube.com/embed/speZejQwBQo,"Josephine Langford,Hero Fiennes Tiffin,Louise Lombard,Chance Perdomo",Castille Landon,Anna Todd
La peor persona del mundo,2022/03/11,128,,"5,14","Julie se encuentra en plena crisis existencial. Está a punto de cumplir 30 años y aún no sabe si su vida tiene algún tipo de sentido. Mantiene una relación sentimental con Aksel, un escritor de éxito mayor que ella que quiere asentar la cabeza y formar una familia, una clase de planes a los que Julia no está dispuesta a unirse. Una noche en un fiesta comoce a&amp;nbsp;Eivind. Al poco tiemppo de su encuentro, Julie ha roto con Aksel, se ha lanzado a una nueva relación pero aún sigue sin saber qué es lo que quiere en su vida, ni para ella misma.",/movies_images/la-peor-persona-del-mundo.jpg,https://www.youtube.com/embed/W9oo5fwTvpY,"Renate Reinsve,Anders Danielsen Lie,Herbert Nordrum,Hans Olav Brenner",Joachim Trier,"Joachim Trier,Eskil Vogt"
Clara Sola,2022/05/20,106,,5,"Se cree de Clara que tiene una conexión especial con Dios. Como curandera, sostiene a una familia y un pueblo necesitados de esperanza, mientras encuentra consuelo en su relación con el mundo natural. Después de años de estar bajo el férreo control de su madre, los deseos sexuales de Clara se despiertan por su atracción por la nueva pareja de su sobrina. Esta fuerza la lleva a un territoriodesconocido, permitiéndole cruzar fronteras, tanto físicas como místicas. Gracias a su despertar sexual, Clara se libera gradualmente de su papel de &quot;santa&quot; y comienza a curarse a sí misma.",/movies_images/clara-sola.jpg,https://www.youtube.com/embed/1yQZ-VyT3DA,"Wendy Chinchilla Araya,Daniel Castañeda Rincón,Ana Julia Porras Espinoza,Flor María Vargas Chaves",Nathalie Álvarez Mesén,"Nathalie Álvarez Mesén,Maria Camila Arias"
Los jóvenes amantes,2022/06/10,112,,11,"Shauna -una elegante arquitecta jubilada- se cruza con Pierre -un médico felizmente casado- en el pasillo de un hospital. Ella tiene 71 años, él 45. Quedando prendados el uno por el otro, vuelven a conectar y comienzan una aventura. Viuda, madre, abuela... Shauna necesita reafirmar que después de todo es una mujer plena.",/movies_images/los-jvenes-amantes.jpg,https://www.youtube.com/embed/RrSySlYujzE,"Fanny Ardant,Melvil Poupaud,Cécile de France,Florence Loiret-Caille",Carine Tardieu,"Carine Tardieu,Agnès De Sacy,Solveig Anspach,Agnès De Sacy,Solveig Anspach"
Dog. Un viaje salvaje,2022/04/22,102,,10,"Briggs es un tipo que recorre la costa del Pacífico, con el tiempo justo para asistir al funeral de su mejor amigo. Le acompaña en este viaje su mascota: Lulu, una indomable pastor belga. A uno de ellos le queda una semana de vida, mientras que el otro vive como si cada día fuera el último.",/movies_images/dog.-un-viaje-salvaje.jpg,https://www.youtube.com/embed/aWyzUNRBYZk,"Channing Tatum,Luke Forbes,Ethan Suplee,Kevin Nash","Reid Carolin,Channing Tatum",Reid Carolin
Mamá Muu vuelve a casa,2022/05/13,63,,"9,19","Cuando cigüeña viajera aparece en la granja de los protagonistas, Mamá Muu se cuestiona qué supone realmente el tener un hogar. ¿Cómo puede estar segura que el prado y la granja donde vive son realmente su casa? ¿Y si hubiera un lugar mejor para vivir en algún otro lugar de este gran planeta? Al Cuervo le cuesta demostrar a su gran amiga que no siempre se vive mejor en otros sitios.",/movies_images/mam-muu-vuelve-a-casa.jpg,https://www.youtube.com/embed/n5t9q4mk_5E,,Christian Ryltenius,Peter Arrhenius
Mi mejor amigo,2022/06/17,85,,5,"Los alumnos que estudian en el internado de la historia se ven aplastados por la presión y la disciplina impuestas en el centro. Un día, uno de los alumnos enferma y su amigo Yusuf, que no puede permanecer indiferente, decide llevarlo al médico. Sin embargo, se encuentra con una serie de obstáculos: para conseguir trasladarle, el niño tiene que luchar con la burocracia de la escuela, la actitud insensible de la administración, las difíciles condiciones geográficas del lugar donde viven y muchos otros problemas.",/movies_images/mi-mejor-amigo.jpg,https://www.youtube.com/embed/KayTHw7kXbQ,"Samet Yıldız,Ekin Koç,Mahir İpek,Nurullah Alaca",Ferit Karahan,"Ferit Karahan,Gülistan Acet"
"Dios mío, ¿pero qué te hemos hecho... ahora?",2019/12/19,99,,14,"Tras ver a sus hijas casarse con un musulmán, un judío, un chino y un africano, Claude (Christian Clavier) y Marie Verneuil (Chantal Lauby) se enfrentan a una nueva crisis. Sus cuatro yernos, Rachid (Medi Sadoun), David (Ary Abittan), Chao (Frédéric Chau) y Charles (Noom Diawara), están decididos a abandonar Francia con sus esposas e hijos para probar fortuna en el extranjero. Incapaces de imaginar a su familia lejos de ellos, Claude y Marie harán todo lo posible para retenerlos. Esta comedia es la secuela de la exitosa película Dios mío, ¿pero qué te hemos hecho? (2014), que vuelve a dirigir Philippe de Chauveron.",/movies_images/dios-mo-pero-qu-te-hemos-hecho...-ahora.jpg,https://www.youtube.com/embed/cH5LIPDjyXQ,"Christian Clavier,Chantal Lauby,Ary Abittan,Medi Sadoun",Philippe de Chauveron,"Philippe de Chauveron,Guy Laurent,Guy Laurent,Philippe de Chauveron,Philippe de Chauveron,Guy Laurent"
Centauro,2022/06/15,89,,"2,6","La acción sigue a Rafa, un adicto a las emociones fuertes. De ahí que haya decidido luchar por iniciar una carrera como piloto profesional de&amp;nbsp;motociclismo. Sin embargo, el sueño de Rafa se paraliza cuando&amp;nbsp;descubra que la madre de su hijo tiene una deuda con unos narcotraficantes. Para poder salvar a su mujer y proteger a su familia, el protagonista pondrá a disposición de este grupo criminal sus dotes como corredor.",/movies_images/centauro.jpg,https://www.youtube.com/embed/p8CXKceGvAo,"Àlex Monner,Begoña Vargas,Carlos Bardem",Daniel Calparsoro,"Guillaume Lemans,Simon Moutaïrou,Yann Gozlan,Jérémie Guez"
La Lego película,2014/02/07,100,,"4,9","Emmet, el protagonista de la película, trabaja como constructor en la ciudad Lego, pero sus conocimientos de construcción no van más allá de colocar las fichas atendiendo pormenorizadamente las instrucciones de edificación. Sin embargo, sin saber cómo ni por qué, Emmet es confundido con un &quot;MasterBuilder&quot; e introducido como cabecilla de una misión que tiene por objetivo evitar que un malvado acabe con la ciudad de bloques. Por suerte, los habitantes de tan atípico lugar no están solos. Los mismísimos Superman y Batman han tomado la forma de muñecos Lego para tomar parte de esta gran aventura. El actor Chris Pratt pone voz al personaje principal del film, Emmet. Por su parte, Will Arnet interpreta a Batman y Channing Tatum es Superman. Participan también en el proyecto Morgan Freeman, dando voz a un personaje llamado Vitruvio, y Elizabeth Banks.",/movies_images/la-lego-pelcula.jpg,https://www.youtube.com/embed/1qhm19E452s,,"Phil Lord,Christopher Miller","Christopher Miller,Phil Lord"
Cry-Baby (El lágrima),1990/10/05,85,,"10,15","Baltimore, años 50. Dos grupos enfrentados: los &quot;Drapes&quot; y los &quot;Squares&quot;. Wade Walker (de los &quot;Drapes&quot;), apodado Cry-Baby o &quot;El lágrima&quot;, es un chico malo y rebelde que trata de aparentar más de lo que realmente es. Su vida cambia cuando se enamora de Allison Vernon-Williams (perteneciente a los &quot;Squares&quot;), una compañera de instituto guapa, rica, respetable y buena. Características totalmente contrarias a las suyas. Wade, acabará dándose cuenta de que su pasión por hacer lo incorrecto y actuar de malas formas le puede llevar a presenciar situaciones trágicas e irreparables.",/movies_images/crybaby-el-lgrima.jpg,https://www.youtube.com/embed/x0tlIJ6-ocM,"Johnny Depp,Amy Locane,Susan Tyrrell,Polly Bergen",John Waters,John Waters
¿Quién puede matar a un niño?,1976/04/26,112,,"1,8","Segundo y último largometraje del cineasta Narciso Ibáñez Serrador después de 'La residencia'. '¿Quién puede matar a un niño?' es una inquietante película ambientada en la novela 'El juego de los niños', escrita por Juan José Plans.Tom y Evelyn son una pareja de extranjeros que viajan a la costa española para pasar unos días de vacaciones. Su plan es dedicarse a navegar y encontrar la tranquilidad, ya que Evelyn está embarazada. Un día alquilan una barca para visitar la isla Almanzora, un lugar que Tom había visitado cuando aún era pequeño. Al llegar allí se encuentran con un extraño ambiente. En la isla no vive ningún adulto, sólo ven niños y locales completamente abandonados. Pronto descubrirán que esos niños perdieron su inocencia mucho tiempo atrás y que la isla guarda un horrible secreto para cualquier adulto que se atreva a visitarla.",/movies_images/quin-puede-matar-a-un-nio.jpg,https://www.youtube.com/embed/L77eOCmTK8w,"Lewis Fiander,Prunella Ransome,Luis Ciges,Miguel Narros",Narciso Ibáñez Serrador,"Narciso Ibáñez Serrador,Juan José Plans"
Un nuevo mundo,2022/05/13,96,,5,"Philippe Lemesle y su mujer se están separando, su amor está irremediablemente dañado por las presiones del trabajo como directivo de él. Ejecutivo de éxito en un conglomerado industrial, Philippe ya no sabe cómo responder a las exigencias contradictorias de sus jefes. Ayer querían un gestor, hoy un ejecutor. Ahora debe decidir qué significa realmente su vida: si su familia o su empleo.",/movies_images/un-nuevo-mundo.jpg,https://www.youtube.com/embed/OSmu4PDci7Y,"Vincent Lindon,Sandrine Kiberlain,Anthony Bajon,Guillaume Draux",Stéphane Brizé,"Stéphane Brizé,Oliver Gorce"
Misión: Imposible,1996/06/28,110,,"23,1","Los miembros de un comando de la CIA son enviados a Praga con la misión de capturar, durante una recepción en la embajada americana, a un espía enemigo que se dispone a robar un disco que contiene una lista secreta de agentes de Europa central. Lo único que ignoran es que la CIA, convencida de que en el comando hay un topo infiltrado, ha enviado un segundo equipo con la misión de corroborar que todo ocurre según lo previsto y detener cuanto antes al detective que está tratando de hundir su organización.Se trata de la primera entrega de la famosa pentalogía basada en la serie homónima de televisión de los años sesenta y setenta, con Tom Cruise ('Oblivion', 'Al filo del mañana') en el papel del superespía Ethan Hunt, Kristin Scott Thomas&amp;nbsp;como la agente Sarah Davies, Jon Voight, que interpreta a Jim Phelps y con Jean Reno, que da vida a Franz Krieger. Brian de Palma ('La dalia negra', 'Passion') es el encargado de dirigir este largometraje que se convirtió en referencia del cine de espías en los años noventa.",/movies_images/misin-imposible.jpg,https://www.youtube.com/embed/6jYY4-bKhmw,"Tom Cruise,Jean Reno,Jon Voight,Emmanuelle Béart",Brian De Palma,"David Koepp,Robert Towne,Steven Zaillian,Bruce Geller,Bruce Geller"
Delitos y faltas,1990/04/06,104,,10,"El Doctor Judah Rosenthal (Martin Landau) es un exitoso oftalmólogo, con una familia que le adora y una reputación buenísima en el trabajo debido a su generosa caridad. Pero el doctor guarda un secreto: tiene una amante, Dolores (Anjelica Huston, 'El gran año'). Lo que comenzó como una aventura ocasional se convierte en algo más serio y en su intento de romper la relación, Dolores amenaza con contar su infidelidad a su esposa y desvelar algunos de los arreglos financieros poco ortodoxos que ha llevado a cabo con sus compañeros de profesión. Con miedo de que Dolores cuente su infidelidad, Judah le confiesa su secreto a su hermano Jack (Jerry Orbach, actor en la serie 'Ley y orden'), quien tiene vínculos con el crimen organizado y se ofrece a hacer que el problema desaparezca. Mientras tanto, Cliff Stern (Woody Allen, 'A Roma con amor') es un director de cine que está trabajando en un proyecto personal: un documental sobre el filósofo Lous Levy (Martin Bergmann, 'La lista de Schindler'). Pero, por desgracia, los documentales sobre filósofos no pagan el alquiler de la casa, así que su esposa, Wendy Cliff (Joanna Gleason, 'Mi segunda vez') le encarga que haga una película para la televisión pública sobre su hermano Lester (Alan Alda, 'Sácame del paraíso'), un famoso comediante al que Cliff desprecia. Mientras intenta terminar lo antes posible de filmar la película, Cliff se enamora de una productora llamada Halley Reed (Mia Farrow, 'Arthur y la guerra de los mundos').",/movies_images/delitos-y-faltas.jpg,https://www.youtube.com/embed/kahe6Jshp0I,"Anjelica Huston,Woody Allen,Mia Farrow,Claire Bloom",Woody Allen,Woody Allen
Go Fish: Salvemos el mar,2022/04/29,75,,"9,4","Toda su vida, el audaz pececillo Alex ha soñado con ser un héroe. Para lograrlo, tiene su oportunidad cuando una misteriosa inundación de petróleo entra en erupción cerca de su arrecife de coral. Mientras él y sus amigos (un caballito de mar, una anguila y un pez globo) nadan para enfrentarse a la amenaza y salvar su habitat, encontrarán a un barco hundido con un tesoro escondido, un avión abandonado y hasta un volcán submarino.",/movies_images/go-fish-salvemos-el-mar.jpg,https://www.youtube.com/embed/ZamWB27oSaw,,Sean Patrick O'Reilly,Sean Patrick O'Reilly
Las aventuras de Pil,2022/04/13,89,,"9,4,2,8","Pil, un pequeño huérfano, vive en la calle junto sus tres comadrejas domesticadas. Sobrevive yendo a robar comida del castillo de la siniestra regente Tristain, que ha usurpado el trono. Un buen día, para escapar de los guardias que la persiguen, Pil se disfraza poniéndose un vestido de princesa. De esta manera, se verá embarcada en una loca y delirante búsqueda para salvar a Roland: el heredero al trono, víctima de un encantamiento y transformado un ser mitad gato, mitad gallina.",/movies_images/las-aventuras-de-pil.jpg,https://www.youtube.com/embed/vZ4k8qjQfgQ,,Julien Fournet,Julien Fournet
Memoria,2022/05/27,136,,5,"Un&amp;nbsp;desconcertante drama sobre una mujer escocesa que, después de escuchar un fuerte 'bang' al amanecer, comienza a experimentar un misterioso síndrome sensorial mientras atraviesa las selvas de Colombia.",/movies_images/memoria.jpg,https://www.youtube.com/embed/zyVe11x5y9o,"Tilda Swinton,Elkin Díaz,Jeanne Balibar,Juan Pablo Urrego",Apichatpong Weerasethakul,Apichatpong Weerasethakul
"Quo Vadis, Aida?",2021/05/07,104,,"5,18,17","Bosnia, julio de 1995. Aida trabaja de traductora para la ONU en la pequeña ciudad de Srebrenica. Cuando el ejército serbio ocupa el pueblo, su familia está entre las miles de personas que buscan refugio en los campos de la ONU. Como participa en las negociaciones, Aida tiene acceso a información importante. ¿Qué le pasará a su familia y su gente? ¿Serán rescatados o morirán? ¿Qué debería hacer ella al respecto?",/movies_images/quo-vadis-aida.jpg,https://www.youtube.com/embed/ErLD8P4VUjY,"Jasna Đuričić,Izudin Bajrovic,Boris Ler,Dino Bajrovic",Jasmila Žbanić,Jasmila Žbanić
La guerra de los niños,1980/12/19,86,,"14,22","Nos hallamos en un pequeño colegio de barrio, cuando Don Matías, su dueño y propietario, anuncia el cierre debido a varias deudas. Los cinco niños protagonistas se pondrán manos a la obra y con la ayuda de Superman, el perro de Don Matías, decidirán luchar contra la inmobiliaria que amenaza la existencia de la escuela. Pero primero deben elegir un jefe por lo que todos deberán pasar una prueba de valentía. Los niños empiezan a hacer una serie de gamberradas y trastadas que sabotearan los planes de la inmobiliaria, pero los desaprensivos jefes de ésta, no se dan por vencidos. Finalmente, los cinco niños y Superman, deciden secuestrar a Don Atilio, el dueño de la empresa, para así conseguir ser escuchados.",/movies_images/la-guerra-de-los-nios.jpg,https://www.youtube.com/embed/lzU6QQrF7ZU,"Manuel Alexandre,Mari Carmen Alvarado,José Luis Barceló,Constantino Fernández &#039;Tino&#039;",Javier Aguirre,
Peter Rabbit 2: A la fuga,2021/07/16,93,,"14,4,19","Regresa el travieso y aventurero Peter Rabbit junto con el resto de sus compañeros animales. En esta segunda entrega, Bea (Rose Byrne) y Thomas McGregor (Domhnall Gleeson) se han casado. Aunque Peter Rabbit y Thomas antes eran auténticos enemigos, ahora se han hecho muy amigos. Eso sí, a pesar de haber logrado crear una familia improvisada, el rebelde conejo tendrá sus diferencias con McGregor y seguirá causando problemas. Por eso, decidirá marcharse solo, más allá del jardín en el que siempre ha vivido. Allí, conocerá a un nuevo conejo que fue amigo de su padre, y tendrá que decidir qué tipo de conejo quiere ser. Película mezcla de imagen real y animación basada en los personajes creados por la novelista infantil Beatrix Potter.",/movies_images/peter-rabbit-2-a-la-fuga.jpg,https://www.youtube.com/embed/PhgrpI9vj34,"Rose Byrne,Domhnall Gleeson,David Oyelowo,Tara Morice",Will Gluck,"Will Gluck,Patrick Burleigh"
Compartimento Nº 6,2022/04/13,102,,"5,14",Una joven finlandesa deja atrás una tediosa relación amorosa en Moscú cuando se sube a un tren rumbo al al puerto ártico de Murmansk. Durante el trayecto debe compartir el diminuto vagón donde se hospeda junto a un minero ruso. Este inesperado encuentro pone a prueba la necesidad y anhelo del amor y el afecto humano de los ocupantes del compartimento nº 6.,/movies_images/compartimento-n-6.jpg,https://www.youtube.com/embed/ZlaFkfnq4_g,"Yuriy Borisov,Dinara Drukarova,Yuliya Aug,Galina Petrova",Juho Kuosmanen,"Juho Kuosmanen,Rosa Liksom"
La conferencia,2022/05/13,112,,"5,17","El 20 de enero de 1942 en un palacete de Wannsee (Berlín), tuvo lugar una conferencia que -en sus apenas hora y media- cambió el rumbo de la historia. Ese día, Reinhard Heyndrich, máximo responsable de la Oficina Central de Seguridad del Reich y mano derecha de Himmler (jefe de las SS), convocó a un grupo de altos cargos nazis para explicarles y lograr su aprobación de la llamada &quot;Solución final sobre la cuestión judía&quot;. En aquella reunión se estableció un plan sistemático para la detención, aprisionamiento y la eliminación de toda la población judía europea, unos once millones de personas. Asimismo se perfiló un método de exterminio masivo basado en modelos de eficiencia industrial.",/movies_images/la-conferencia.jpg,https://www.youtube.com/embed/ZB7I8b8ULd8,"Johannes Allmayer,Maximilian Brückner,Matthias Bundschuh,Fabian Busch",Matti Geschonneck,Magnus Vattrodt
