title,release_date,runtime,genre/s,description,image,trailer,actors,director,writers
Uno de los nuestros,"
19 de octubre de 1990
",PT02H25M00S,"Suspense,Drama","'Uno de los nuestros es una película basada en el libro de Nicholas Pileggi llamado &quot;Wiseguy&quot;. Henry Hill, es un aspirante a mafioso que intenta abrirse camino junto a sus amigos, Jimmy Conway y Tommy De Vito, en la difícil jerarquía de la mafia. Para ello deben dar varios golpes, introduciéndose en negocios cada vez más peligrosos. Finalmente Henry termina en el programa de protección de testigos del FBI después de testificar en contra de sus antiguos socios.",/movie_images/Uno de los nuestros.jpg,https://www.sensacine.com/peliculas/pelicula-5969/trailer-19434037/,"Ray Liotta,Robert De Niro,Joe Pesci,Lorraine Bracco",Martin Scorsese,"Nicholas Pileggi,Martin Scorsese,Nicholas Pileggi"
El caballero oscuro,"
13 de agosto de 2008
",PT02H32M00S,"Acción,Suspense","Después de derrotar a la Orden de las Sombras y frustrar al jefe de la mafia Carmine Falcone en 'Batman Begins', Bruce Wayne vuelve a enfundarse el traje del hombre murciélago para combatir el crimen en Gotham.Con Falcone fuera, el mafioso Salvatore Maroni se ha hecho con el control en la ciudad y parece que la lucha de Batman frente a los criminales será interminable. Por suerte, la ciudad cuenta ahora con Harvey Dent, un nuevo Fiscal del Distrito caracterizado por su mano dura contra el crimen, lo que da un aire de esperanza a Gotham y permite que Bruce se centre en Rachel Dawes, el amor de su vida y la única que conoce su verdadera identidad.Sin embargo, la llegada de un nuevo villano a la ciudad destruirá todos los planes de Batman. Se trata de El Joker, un psicópata retorcido y sádico, con una morbosa fascinación por todo lo que rodea al murciélago. Pronto comenzará a sembrar el pánico y a causar estragos en Gotham, convirtiéndose en el peor enemigo posible para El caballero oscuro.",/movie_images/El caballero oscuro.jpg,https://www.sensacine.com/peliculas/pelicula-115362/trailer-18820390/,"Christian Bale,Heath Ledger,Aaron Eckhart,Maggie Gyllenhaal",Christopher Nolan,"Jonathan Nolan,Christopher Nolan,David S. Goyer,Bob Kane,Bob Kane,Christopher Nolan,David S. Goyer"
El Exorcista,"
1 de septiembre de 1975
",PT02H01M00S,Terror,"En Iraq, el Padre Merrin queda profundamente turbado por el descubrimiento de una figurilla del demonio Pazuzu y las macabras visiones que ésta provoca. Mientras tanto, en Washington, en la casa de la actriz Chris MacNeil se están produciendo extraños fenómenos: la despiertan extraños sonidos que vienen del granero y su hija Regan se queja de que su cama se mueve. Algunos días más tarde, Regan interrumpe una recepción organizada por Chris amenazando de muerte al realizador Burke Dennings.

Las crisis se hacen cada vez más frecuentes. Presa de violentos espasmos, la adolescente se vuelve irreconocible y tras realizarle diversas pruebas médicas, de las que no sacan ninguna conclusión, Chris decide acudir a un exorcista. La Iglesia autoriza al Padre Damien Karras a oficiarlo en compañía del Padre Merrin. El demonio, apoderado del cuerpo de Regan, se burla de los dos sacerdotes, amenazándoles mientras intentan expulsarle del cuerpo de la niña. Karras es atacado por el demonio, que se mete en su cuerpo, y acaba tirándose por la ventana de la habitación. Regan despierta de su pesadilla sin saber qué ha pasado. Tras recuperarse de su terrible experiencia, Chris y Regan se marchan de Georgetown.

Dirigida por el cineasta americano William Friedkin ('Reglas de compromiso', 'Killer Joe'), 'El Exorcista' consiguió, en el año 1974, dos estatuillas de oro en la categoría de Mejor Sonido y Mejor Guión Adaptado, aparte de conseguir siete nominaciones al Oscar más. En los Globos de Oro también logró cuatro premios a la Mejor Película, al Mejor Director, al Mejor Guión y a la Mejor Actriz Secundaria. Todo un clásico de terror protagonizado por Ellen Burstyn ('Réquiem por un sueño'), Linda Blair ('El exorcista. El montaje del director') y Max von Sydow ('Shutter Island').",/movie_images/El Exorcista.jpg,https://www.sensacine.com/peliculas/pelicula-27765/trailer-19374718/,"Linda Blair,Ellen Burstyn,Max von Sydow,Jason Miller",William Friedkin,"William Peter Blatty,William Peter Blatty"
Los Goonies,"
24 de julio de 1985
",PT01H41M00S,"Aventura,Comedia,Familia,Fantasía","Mikey (Sean Astin) y Brandon (Josh Brolin) son dos hermanos que están tratando de quemar al máximo los pocos días que les quedan en el barrio donde se criaron. Están tristes porque una empresa planea destruir la manzana en la que viven para construir un campo de golf. A menos que los vecinos logren recaudar una importante suma de dinero para frenar la destrucción del barrio, los planes seguirán adelante. Es entonces cuando, un día, los hermanos descubren el mapa del tesoro de un pirata. Junto a sus amigos, intentarán descubrir y desenterrar la fortuna que puede salvarlos.
Lawrence &quot;Chunk&quot; Cohen (Jeff Cohen), Clark &quot;Mouth&quot; Devereaux (Corey Feldman), Andrea &quot;Andy&quot; Carmichael (Kerri Green), Stefanie &quot;Stef&quot; Steinbrenner (Martha Plimpton) y Richard &quot;Data&quot; (Jonathan Ke Quan), junto a los Walsh, se hacen llamar así mismos 'Los Goonies'. Su ingenio y su aparente inocencia les conducirán directos a una misteriosa cueva donde se esconde el tesoro.&amp;nbsp; Pero no todo será fácil, ya que en la entrada de la caverna les esperan los primeros enemigos. ¿Conseguirán 'Los Goonies' alcanzar el deseado tesoro?",/movie_images/Los Goonies.jpg,https://www.sensacine.com/peliculas/pelicula-1051/trailer-19533879/,"Sean Astin,Josh Brolin,Corey Feldman,Jeff Cohen",Richard Donner,"Steven Spielberg,Chris Columbus"
Gran Torino,"
6 de marzo de 2009
",PT01H56M00S,"Drama,Suspense","Walt Kowalski (Clint Eastwood, ‘Harry, el sucio’) es un ex mecánico jubilado de mal carácter que, tras la muerte de su mujer, vive resentido y apesadumbrado. Su día a día consiste en hacer pequeñas reparaciones domésticas, beber cerveza en el porche de su casa y sus únicas relaciones sociales son las que mantiene cuando visita al barbero una vez al mes. Cuando una familia de Hmong se muda a la casa de al lado, a este veterano de la Guerra de Corea no le hace ninguna gracia. Ahora que no le gusta nada de lo que le rodea, tan sólo le queda disfrutar de su Gran Torino, el que conserva como el primer día que se lo compró. Una noche, Tao (Bee Vang), el pequeño de los Hmong, intenta robar el coche forzado por sus primos, aunque Walt lo impide. La madre del joven insiste en que Tao pague su deuda ayudando a Walt en su casa y a partir de entonces nace una relación muy especial entre ambos que cambiará sus vidas para siempre.",/movie_images/Gran Torino.jpg,https://www.sensacine.com/peliculas/pelicula-135063/trailer-18843079/,"Clint Eastwood,Bee Vang,Ahney Her,Geraldine Hughes",Clint Eastwood,"Nick Schenk,Dave Johannson"
Alguien voló sobre el nido del cuco,"
7 de octubre de 1976
",PT02H09M00S,Drama,"Randle P. Murphy (Jack Nicholson, 'A propósito de Schmidt') es un hombre de espíritu libre con fuego en las venas y lengua desatada. No tiene miedo a vivir a contracorriente. De hecho, su forma de ganarse la vida no es nada normal, ya que estafa y lleva a cabo pequeños atracos. Un día es atrapado por la policía y, en lugar de ir a prisión, es ingresado en un psiquiátrico. Allí encuentra un ambiente opresivo, dominado por la férrea enfermera Ratched. Los pacientes apenas tienen libertad ni momentos de ocio. La llegada de Randle supone toda una revolución en el centro, pero su conducta propensa al desorden le lleva a tener más de un problema con el personal sanitario, que intenta aplacarle por todos los métodos posibles.",/movie_images/Alguien voló sobre el nido del cuco.jpg,https://www.sensacine.com/peliculas/pelicula-2072/trailer-19537951/,"Michael Berryman,Dean R. Brooks,Jack Nicholson,Louise Fletcher",Milos Forman,"Bo Goldman,Lawrence Hauben,Ken Kesey"
Seven,"
12 de enero de 1996
",PT02H10M00S,"Crimen,Suspense","Somerset es un veterano detective que se encuentra a punto de jubilarse y que conoce al joven policia Mills. Juntos deberán investigar el asesinato de un hombre obeso que ha sido atado y obligado a comer hasta la muerte. Los crímenes se suceden mientras los dos detectives muestran sus talantes opuestos, uno paciente y racional, y el joven más impetuoso.Pronto averiguan que los crímenes son obra de la misma persona, ya que ésta deja numerosas anotaciones procedentes de diversas lecturas que ha ido realizando de una serie de libros de temática religiosa. De este modo, Somerset y Mills no tardan mucho en descubrir que la serie de asesinatos está inspirada en los siete pecados capitales: cada uno de los muertos había incurrido en éste u otro pecado, y había sufrido un terrible castigo en consonancia. La pareja de detectives, pese a sus grandes diferencias, tendrá que trabajar duro para conseguir detener a un asesino fanático y meticuloso que siempre parece ir un paso por delante de ellos, pues los asesinatos no dejan de sucederse y la lista de pecados se va acortando dramáticamente.",/movie_images/Seven.jpg,https://www.sensacine.com/peliculas/pelicula-13892/trailer-19361088/,"Brad Pitt,Morgan Freeman,Gwyneth Paltrow,Kevin Spacey",David Fincher,Andrew Kevin Walker
En busca del arca perdida,"
9 de octubre de 1981
",PT01H56M00S,"Aventura,Acción","Corre el año 1936. La Alemania Nazi está expandiendo su reinado de terror y represión. Lejos de allí, el doctor Indiana Jones (Harrison Ford) se encuentra en plena jungla peruana, buscando un valioso ídolo que, al parecer, no ansía él solo. Cuando cree estar a salvo de los peligros que custodian la reliquia, el aventurero cae en una emboscada tendida por su adversario más tenaz, el francés René Belloq (Paul Freeman). Por suerte, logra escapar.De vuelta a su vida civilizada como profesor universitario de arqueología, Jones recibe órdenes del servicio secreto americano y de su amigo Marcus Brody, conservador del Museo Nacional de Washington. Debe conseguir el Medallón de Ra, un artefacto egipcio de gran valor que podría conducir hasta la mismísima Arca de la Alianza, la misma en la que Moisés guardó los Diez Mandamientos. Una pieza histórica con poderes inimaginables que Hitler quiere encontrar... El problema es que el medallón está en manos de su ex-amante, Marion Ravenwood (Karen Allen), que regenta un bar en el Tíbet y no está dispuesta a cedérselo así como así.",/movie_images/En busca del arca perdida.jpg,https://www.sensacine.com/peliculas/pelicula-121/trailer-19514859/,"Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies",Steven Spielberg,"Philip Kaufman,Lawrence Kasdan,George Lucas"
Un don excepcional,"
30 de junio de 2017
",PT01H41M00S,Drama,"Frank Adler (Chris Evans) es un hombre soltero que está criando a su sobrina Mary (Mckenna Grace), una niña de siete años con unas extraordinarias habilidades para las matemáticas. Su abuela Evelyn (Lindsay Duncan) lo sabe bien. Mientras Frank intenta que su sobrina lleve una vida normal, como cualquier niño de su edad, y que disfrute de su infancia, Evelyn tiene otros planes para la niña, y pretende potenciar sus habilidades. Como consecuencia, Frank se verá obligado a luchar desesperadamente por su custodia.Dirigida por Marc Webb (500 días juntos, The Amazing-Spiderman), este drama cuenta en su reparto con los actores Chris Evans (Capitán América: Civil War), Octavia Spencer (Figuras ocultas), Lindsay Duncan (The Leftovers), Jenny Slate (Parks and Recreation), Glenn Plummer (Hijos de la Anarquía), John Finn (Navy: Investigación criminal)&amp;nbsp;y la niña Mckenna Grace.",/movie_images/Un don excepcional.jpg,https://www.sensacine.com/peliculas/pelicula-240263/trailer-19553653/,"Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer",Marc Webb,Tom Flynn
Criadas y Señoras (The Help),"
28 de octubre de 2011
",PT02H26M00S,Drama,"Ambientada en el Mississippi de los años sesenta, narra la historia de Skeeter (Emma Stone, 'Rumores y mentiras'), una joven sureña de Estados Unidos que vuelve de la universidad con el sueño de convertirse en escritora. Pronto revoluciona a los habitantes de la ciudad, cuando decide entrevistar a mujeres negras que se han pasado sus vidas cuidando a familias de la zona y se enfrentará con la señoras blancas que las tienen a su cargo, comenzando un conflicto social que revolucionará la visión de las cosas.Pese al peligro que esto puede conllevar para las antiguas amistades de Skeeter, la colaboración entre ella y Aibileen (Viola Davis, 'La duda'), el ama de llaves de su mejor amiga, continúa, y pronto más mujeres se decidirán a contar sus historias.Completan el reparto Bryce Dallas Howard ('La joven del agua'), Jessica Chastain ('El árbol de la vida'), Octavia Spencer ('Siete almas'), Allison Janney ('La vida en los tiempos de guerra') y Sissy Spacek ('Carrie'). Dirige el también actor Tate Taylor (al que hemos visto en películas como 'Winter's Bone' o 'El planeta de los simios').",/movie_images/Criadas y Señoras (The Help).jpg,https://www.sensacine.com/peliculas/pelicula-176673/trailer-19226435/,"Emma Stone,Jessica Chastain,Viola Davis,Bryce Dallas Howard",Tate Taylor,Tate Taylor
